molecule_chembl_id,canonical_smiles,standard_value
CHEMBL77896,CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(Cc3ccccc3)C1N2Cc1ccccc1,8.1
CHEMBL74089,CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCNC1N2C,2.0
CHEMBL76640,CNC(=O)Oc1ccc2c(c1)[C@@]1(C)CCN(C)C1N2C,2490.0
CHEMBL76241,CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(Cc3ccccc3)C1N2C,10.4
CHEMBL431784,CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)C1N2,6.8
CHEMBL54727,CN1CC[C@@]2(C)c3cc(OC(=O)Nc4ccccc4)ccc3N(C)C12,1300.0
CHEMBL75919,CN1CC[C@]2(C)c3cc(OC(=O)Nc4ccccc4)ccc3N(C)C12,23500.0
CHEMBL309351,C[C@]12CCNC1Nc1ccc(OC(=O)Nc3ccccc3)cc12,952.0
CHEMBL75743,CNC(=O)Oc1ccc2c(c1)[C@@]1(C)CCNC1N2,237.0
CHEMBL76135,C[C@@]12CCN(Cc3ccccc3)C1N(Cc1ccccc1)c1ccc(OC(=O)Nc3ccccc3)cc12,513.0
CHEMBL440497,CNC(=O)Oc1ccc2c(c1)[C@@]1(C)CCN(Cc3ccccc3)C1N2Cc1ccccc1,776.0
CHEMBL1202875,Cl.Cl.O.c1ccc(CN2CCC(CCOc3ccc(-c4ccccc4)nn3)CC2)cc1,1600.0
CHEMBL3215535,Cl.Cl.c1ccc(CN2CCC(CCNc3ccc(-c4ccccc4)nn3)CC2)cc1,700.0
CHEMBL1202865,Cl.Cl.O.c1ccc(CN2CCC(CCNc3cc4c(nn3)-c3ccccc3CCC4)CC2)cc1,510.0
CHEMBL1202884,Cl.Cl.O.c1ccc(CN2CCC(CCNc3cc4ccc5ccccc5c4nn3)CC2)cc1,270.0
CHEMBL1204162,Cl.O.c1ccc(CN2CCC(CCN=c3cc4c(n[nH]3)-c3ccccc3C4)CC2)cc1,230.0
CHEMBL1202874,Cl.Cl.c1ccc(CN2CCC(CCSc3ccc(-c4ccccc4)nn3)CC2)cc1,480.0
CHEMBL1204299,Cc1cc(=NCCC2CCN(Cc3ccccc3)CC2)[nH]nc1-c1ccccc1.Cl.Cl.O,940.0
CHEMBL1204296,CCc1cc(=NCCC2CCN(Cc3ccccc3)CC2)[nH]nc1-c1ccccc1.Cl.Cl.O,920.0
CHEMBL1202885,Cl.Cl.O.c1ccc(CN2CCC(CCNc3cc4c(nn3)-c3ccccc3CC4)CC2)cc1,280.0
CHEMBL502,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,8200.0
CHEMBL95272,COC(=O)CCc1ccc2c(c1)COP(=O)(OCC1C=CC(n3cc(C)c(=O)[nH]c3=O)O1)O2,8800.0
CHEMBL95192,Cc1cn(C2C=CC(COP3(=O)OCc4c(Cl)cccc4O3)O2)c(=O)[nH]c1=O,570.0
CHEMBL375567,Cc1cn([C@H]2C=C[C@@H](COP3(=O)OCc4cccc(C(C)(C)C)c4O3)O2)c(=O)[nH]c1=O,4200.0
CHEMBL97281,CCC(C)c1cccc2c1OP(=O)(OCC1C=CC(n3cc(C)c(=O)[nH]c3=O)O1)OC2,2000.0
CHEMBL97720,Cc1cn(C2C=CC(COP3(=O)OCc4cccc(CCC(=O)O)c4O3)O2)c(=O)[nH]c1=O,50000.0
CHEMBL330237,Cc1cccc2c1OP(=O)(OCC1C=CC(n3cnc4c(O)nc(N)nc43)C1)OC2,2500.0
CHEMBL97159,Cc1cn(C2C=CC(COP3(=O)OCc4cc(CCC(=O)OC(C)(C)C)ccc4O3)O2)c(=O)[nH]c1=O,4400.0
CHEMBL329968,Cc1cn(C2C=CC(COP3(=O)OCc4c(ccc5ccccc45)O3)O2)c(=O)[nH]c1=O,3900.0
CHEMBL376065,Cc1cccc2c1OP(=O)(OC[C@@H]1C=C[C@H](n3cc(C)c(=O)[nH]c3=O)O1)OC2,1200.0
CHEMBL40302,Cc1cccc2c1OP(=O)(OCC1CCC(n3cnc4c(N)ncnc43)O1)OC2,910.0
CHEMBL223807,Cc1ccc2c(c1)COP(=O)(OC[C@@H]1C=C[C@H](n3cc(C)c(=O)[nH]c3=O)O1)O2,4600.0
CHEMBL2111586,Cc1cccc2c1O[P@@](=O)(OC[C@H]1O[C@@H](n3cc(F)c(=O)[nH]c3=O)C[C@@H]1O)OC2,0.0
CHEMBL606885,Cc1cccc2c1OP(=O)(OC[C@H]1C=C[C@@H](n3cnc4c(NC5CC5)nc(N)nc43)C1)OC2,1300.0
CHEMBL97501,Cc1cccc2c1OP(=O)(OCC1OC(n3cc(C)c(=O)[nH]c3=O)CC1N=[N+]=[N-])OC2,40000.0
CHEMBL317359,Cc1cccc2c1OP(=O)(OCC1CCC(n3cc(C)c(=O)[nH]c3=O)O1)OC2,1000.0
CHEMBL95532,Cc1cccc2c1OP(=O)(OCCOCn1cnc3c(O)nc(N)nc31)OC2,50000.0
CHEMBL319290,Cc1cn(C2C=CC(COP3(=O)OCc4cc(C(C)(C)C)cc(C(C)(C)C)c4O3)O2)c(=O)[nH]c1=O,50000.0
CHEMBL3350307,COc1ccc2c(c1)CO[P@@](=O)(OC[C@@H]1C=C[C@H](n3cc(C)c(=O)[nH]c3=O)O1)O2,1800.0
CHEMBL316665,Cc1cccc2c1OP(=O)(OCC(CO)CCn1cnc3c(O)nc(N)nc31)OC2,50000.0
CHEMBL95695,Cc1cn(C2C=CC(COP3(=O)OCc4cc5ccccc5cc4O3)O2)c(=O)[nH]c1=O,410.0
CHEMBL98298,Cc1cn(C2C=CC(COP3(=O)Oc4ccccc4C(C(Cl)Cl)O3)O2)c(=O)[nH]c1=O,26000.0
CHEMBL97145,Cc1cccc2c1OP(=O)(OCC1CC(O)C(n3cnc4c(N)ncnc43)O1)OC2,28000.0
CHEMBL2115274,Cc1cccc2c1OP(=O)(OC[C@H](CO)OCn1cnc3c(O)nc(N)nc31)OC2,50000.0
CHEMBL31131,Cc1cc(C)c2c(c1)COP(=O)(OCC1C=CC(n3cc(C)c(=O)[nH]c3=O)O1)O2,46000.0
CHEMBL330299,Cc1cn(C2C=CC(COP3(=O)OCc4cc(C(C)(C)C)ccc4O3)O2)c(=O)[nH]c1=O,5600.0
